;PrecioInterno;PrecioInternacional;Producción;Exportaciones;TRM;EUR
dic-18;727645,16;129,70;1283;1283,00;3212,48;3722,00
ene-19;727274,19;130,42;1296;1166,34;3161,91;3552,00
feb-19;708089,29;130,53;1106;1245,59;3115,15;3502,00
mar-19;690580,65;128,36;914;1140,59;3125,34;3574,00
abr-19;680566,67;128,58;1031;872,34;3155,22;3624,00
may-19;724064,52;128,42;1115;1028,04;3310,49;3774,00
jun-19;779916,67;137,01;1211;1110,20;3256,02;3650,00
jul-19;796483,87;140,06;1317;1121,94;3208,11;3631,00
ago-19;798935,48;133,51;1119;1214,03;3412,65;3780,00
sep-19;815450,00;136,05;1088;1008,67;3399,62;3789,00
oct-19;819580,65;135,91;1369;1211,41;3437,73;3765,00
nov-19;909600,00;150,59;1506;1162,21;3411,42;3872,00
dic-19;999129,03;165,35;1680;1386,30;3383,00;3683,00
ene-20;886161,29;152,26;1050;1064,88;3317,37;3790,00
feb-20;909103,45;156,26;1001;1078,06;3408,24;3884,00
mar-20;1143193,55;169,70;806;947,84;3870,01;4477,00
abr-20;1175566,67;172,11;744;642,03;3986,56;4330,00
may-20;1068870,97;163,86;1186;893,58;3863,34;4135,00
jun-20;962800,00;156,04;1362;1111,47;3693,00;4210,00
jul-20;1001451,61;162,42;1310;1131,19;3660,60;4394,00
ago-20;1143967,74;175,54;1091;1131,00;3788,10;4464,00
sep-20;1142233,33;175,75;995;887,49;3749,86;4482,00
oct-20;1052483,87;161,92;1159;1051,83;3833,06;4506,00
nov-20;1044700,00;169,80;1443;1278,60;3680,67;4287,00
dic-20;1047677,42;179,66;1743;1309,00;3468,50;4170,00
ene-21;1073193,55;182,53;1081;1072,00;3494,53;4330,00
feb-21;1113535,71;187,09;1107;1273,64;3552,43;4400,00
mar-21;1156032,26;186,13;1050;1128,01;3617,00;4291,00
abr-21;1207433,33;192,19;810;1035,03;3651,85;4508,00
may-21;1385935,48;207,84;616;345,00;3741,96;4530,00
jun-21;1420800,00;215,41;1052;890,28;3693,00;4442,00
jul-21;1562741,94;227,29;1209;1184,28;3832,24;4598,00
ago-21;1704806,45;228,95;915;1130,97;3887,68;4447,00
sep-21;1712138,00;248,61;1209;1089,83;3820,28;4407,00
oct-21;1784935,48;270,27;1012;986,83;3771,68;4344,00
nov-21;1999655,17;291,93;1131;1135,45;3900,51;4526,00
dic-21;2116483,87;302,82;1385;1167,18;3967,77;4622,00
