Fecha;ECO;PFAVAL;ISA;NUTRESA
6/09/2019;2830;1265;19020;25500
9/09/2019;2865;1270;19380;25580
10/09/2019;2885;1265;19380;25380
11/09/2019;2900;1290;19240;25140
12/09/2019;2945;1300;19240;25480
13/09/2019;2900;1290;19300;25300
16/09/2019;3000;1285;20100;25400
17/09/2019;3000;1290;20000;25280
18/09/2019;3020;1305;19700;25400
19/09/2019;2990;1300;19860;25660
20/09/2019;3010;1315;19900;25960
23/09/2019;3000;1315;19500;25480
24/09/2019;2980;1315;19600;25320
25/09/2019;2980;1305;19060;25400
26/09/2019;2990;1315;19020;25520
27/09/2019;2990;1290;18500;25340
30/09/2019;2950;1300;18240;25340
1/10/2019;2940;1310;18500;25260
2/10/2019;2890;1285;18500;25500
3/10/2019;2945;1305;18940;25680
4/10/2019;2940;1300;18920;25680
7/10/2019;2955;1310;19480;25400
8/10/2019;2910;1295;19380;25600
9/10/2019;2925;1300;19380;25320
10/10/2019;2950;1285;19020;25400
11/10/2019;2995;1310;19000;25340
15/10/2019;2995;1285;18780;25360
16/10/2019;2975;1290;18800;25400
17/10/2019;2965;1305;18860;25400
18/10/2019;2915;1290;18780;25400
21/10/2019;2925;1315;19000;25400
22/10/2019;3000;1330;19400;25500
23/10/2019;3030;1325;19400;25620
24/10/2019;3040;1315;19760;25700
25/10/2019;3045;1350;20000;25900
28/10/2019;3040;1360;19960;25540
29/10/2019;3070;1380;20000;25380
30/10/2019;3050;1380;19860;25800
31/10/2019;3040;1385;19500;25640
1/11/2019;3090;1420;19700;25860
5/11/2019;3160;1425;20480;25640
6/11/2019;3130;1405;20160;25680
7/11/2019;3130;1405;20300;25680
8/11/2019;3130;1410;20200;25420
12/11/2019;3100;1430;20240;25160
13/11/2019;3120;1405;20240;25040
14/11/2019;3125;1400;19460;25100
15/11/2019;3145;1410;19640;25260
18/11/2019;3130;1385;20140;25100
19/11/2019;3100;1385;19220;24700
20/11/2019;3130;1395;18500;25180
21/11/2019;3145;1385;17900;25200
22/11/2019;3170;1400;18680;25500
25/11/2019;3160;1380;18300;25800
26/11/2019;3160;1405;18700;26400
27/11/2019;3205;1385;18260;26000
28/11/2019;3220;1395;18800;25740
29/11/2019;3290;1415;18980;25900
2/12/2019;3230;1405;18360;25820
3/12/2019;3200;1415;18400;25680
4/12/2019;3330;1420;18340;25300
5/12/2019;3280;1420;18660;25700
6/12/2019;3300;1415;18500;25600
9/12/2019;3280;1415;18780;25600
10/12/2019;3260;1410;18640;25460
11/12/2019;3270;1420;18240;25340
12/12/2019;3305;1425;18300;25460
13/12/2019;3325;1420;19000;25280
16/12/2019;3335;1425;18800;25020
17/12/2019;3275;1425;18760;25000
18/12/2019;3260;1440;18680;24980
19/12/2019;3300;1440;18720;25000
20/12/2019;3320;1440;18640;24900
23/12/2019;3350;1475;19300;25080
24/12/2019;3320;1460;19300;25300
26/12/2019;3345;1450;19300;25260
27/12/2019;3340;1475;19380;25100
30/12/2019;3315;1460;19600;25400
2/01/2020;3320;1460;19880;25100
3/01/2020;3380;1470;20300;25280
7/01/2020;3360;1450;19760;25060
8/01/2020;3325;1445;19600;25020
9/01/2020;3345;1460;19760;25020
10/01/2020;3400;1465;19660;25140
13/01/2020;3420;1465;19960;24920
14/01/2020;3405;1475;19700;24940
15/01/2020;3395;1460;19680;25060
16/01/2020;3405;1445;19560;25000
17/01/2020;3385;1450;19520;25180
20/01/2020;3385;1455;19620;25300
21/01/2020;3360;1455;19560;25260
22/01/2020;3330;1445;19500;25320
23/01/2020;3315;1445;19300;25380
24/01/2020;3290;1440;19380;25220
27/01/2020;3205;1430;19240;24920
28/01/2020;3190;1430;19300;25000
29/01/2020;3195;1440;19380;25080
30/01/2020;3200;1450;19740;24960
31/01/2020;3180;1450;18800;24760
3/02/2020;3140;1445;19160;25060
4/02/2020;3185;1460;19240;25000
5/02/2020;3190;1460;19240;25000
6/02/2020;3195;1470;18960;25080
7/02/2020;3215;1480;18900;25360
10/02/2020;3215;1465;18740;24820
11/02/2020;3290;1480;18600;24900
12/02/2020;3375;1475;18800;25080
13/02/2020;3360;1475;19000;25080
14/02/2020;3325;1480;19000;25300
17/02/2020;3355;1485;19000;25200
18/02/2020;3365;1505;19060;25100
19/02/2020;3460;1505;19280;25120
20/02/2020;3435;1505;19280;25100
21/02/2020;3425;1475;18900;25260
24/02/2020;3330;1500;19040;25300
25/02/2020;3300;1490;19020;25060
26/02/2020;3285;1475;18800;24980
27/02/2020;3120;1450;18600;23700
28/02/2020;3105;1450;18600;23420
2/03/2020;3060;1405;18320;24500
3/03/2020;3040;1410;18060;23400
4/03/2020;3160;1425;18300;23800
5/03/2020;3175;1435;18500;23980
6/03/2020;2965;1390;18100;23640
9/03/2020;2370;1250;17000;22800
10/03/2020;2330;1270;17500;22800
11/03/2020;2230;1210;17000;22000
12/03/2020;1485;808;15940;20500
16/03/2020;1725;950;12100;19000
17/03/2020;1575;907;12500;19000
18/03/2020;1380;793;11800;17100
19/03/2020;1420;800;13100;17100
20/03/2020;1485;748;13400;17000
24/03/2020;1615;700;13320;17300
25/03/2020;1810;860;14520;18480
26/03/2020;1990;995;16680;19700
27/03/2020;1860;920;16600;19520
30/03/2020;1830;959;16540;19100
31/03/2020;1900;897;15480;19100
1/04/2020;1840;886;14800;18640
2/04/2020;2080;930;15400;19460
3/04/2020;2270;906;15500;19700
6/04/2020;2260;955;16140;19720
7/04/2020;2230;932;16680;20020
8/04/2020;2360;936;17200;20700
13/04/2020;2250;951;17860;21300
14/04/2020;2220;955;18000;22500
