Fecha;Precio
20/01/2016;3.394,05
21/01/2016;3.320,00
22/01/2016;3.310,00
25/01/2016;3.399,00
26/01/2016;3.365,78
27/01/2016;3.356,60
28/01/2016;3.282,60
29/01/2016;3.282,50
1/02/2016;3.327,84
2/02/2016;3.395,00
3/02/2016;3.374,99
4/02/2016;3.319,00
5/02/2016;3.334,00
8/02/2016;3.369,89
9/02/2016;3.393,40
10/02/2016;3.391,00
11/02/2016;3.441,00
12/02/2016;3.383,00
15/02/2016;3.383,00
16/02/2016;3.417,60
17/02/2016;3.359,80
18/02/2016;3.342,50
19/02/2016;3.355,10
22/02/2016;3.310,81
23/02/2016;3.328,90
24/02/2016;3.341,06
25/02/2016;3.313,68
26/02/2016;3.342,85
29/02/2016;3.291,30
1/03/2016;3.229,50
2/03/2016;3.206,00
3/03/2016;3.194,00
4/03/2016;3.155,69
7/03/2016;3.115,00
8/03/2016;3.204,56
9/03/2016;3.186,62
10/03/2016;3.224,55
11/03/2016;3.149,53
14/03/2016;3.154,80
15/03/2016;3.164,00
16/03/2016;3.161,10
17/03/2016;3.072,23
18/03/2016;3.071,77
21/03/2016;3.072,50
22/03/2016;3.030,50
23/03/2016;3.071,24
24/03/2016;3.071,77
25/03/2016;3.073,00
28/03/2016;3.025,49
29/03/2016;3.057,72
30/03/2016;3.015,00
31/03/2016;3.000,51
1/04/2016;3.038,60
4/04/2016;3.065,00
5/04/2016;3.085,90
6/04/2016;3.082,00
7/04/2016;3.106,75
8/04/2016;3.095,30
11/04/2016;3.053,95
12/04/2016;3.018,64
13/04/2016;3.008,45
14/04/2016;2.994,68
15/04/2016;2.997,80
18/04/2016;2.969,99
19/04/2016;2.897,50
20/04/2016;2.897,52
21/04/2016;2.942,00
22/04/2016;2.949,47
25/04/2016;2.967,07
26/04/2016;2.955,50
27/04/2016;2.933,75
28/04/2016;2.875,02
29/04/2016;2.848,69
2/05/2016;2.833,00
3/05/2016;2.914,10
4/05/2016;2.953,70
5/05/2016;2.951,10
6/05/2016;2.956,72
9/05/2016;2.956,82
10/05/2016;2.974,00
11/05/2016;2.938,05
12/05/2016;2.946,62
13/05/2016;2.992,00
16/05/2016;3.027,19
17/05/2016;3.013,34
18/05/2016;3.025,33
19/05/2016;3.056,57
20/05/2016;3.051,98
23/05/2016;3.061,10
24/05/2016;3.063,75
25/05/2016;3.060,50
26/05/2016;3.052,85
27/05/2016;3.069,00
30/05/2016;3.062,30
31/05/2016;3.090,07
1/06/2016;3.114,10
2/06/2016;3.085,23
3/06/2016;3.020,00
6/06/2016;3.018,64
7/06/2016;2.942,00
8/06/2016;2.923,38
9/06/2016;2.937,84
10/06/2016;2.971,45
13/06/2016;2.996,41
14/06/2016;3.005,68
15/06/2016;2.977,65
16/06/2016;3.015,90
17/06/2016;3.008,64
20/06/2016;2.975,70
21/06/2016;2.975,20
22/06/2016;2.917,97
23/06/2016;2.900,30
24/06/2016;2.971,06
27/06/2016;3.058,80
28/06/2016;2.982,90
29/06/2016;2.915,78
30/06/2016;2.920,15
1/07/2016;2.933,50
4/07/2016;2.932,91
5/07/2016;2.983,00
6/07/2016;3.000,65
7/07/2016;2.985,88
8/07/2016;2.932,01
11/07/2016;2.935,09
12/07/2016;2.918,00
13/07/2016;2.940,00
14/07/2016;2.916,20
15/07/2016;2.922,03
18/07/2016;2.921,20
19/07/2016;2.928,90
20/07/2016;2.927,58
21/07/2016;2.942,50
22/07/2016;2.951,25
25/07/2016;3.014,95
26/07/2016;3.062,65
27/07/2016;3.082,55
28/07/2016;3.094,05
29/07/2016;3.070,07
1/08/2016;3.090,00
2/08/2016;3.103,00
3/08/2016;3.094,00
4/08/2016;3.081,50
5/08/2016;3.038,75
8/08/2016;2.995,00
9/08/2016;2.984,16
10/08/2016;2.941,08
11/08/2016;2.890,49
12/08/2016;2.930,45
15/08/2016;2.927,84
16/08/2016;2.903,00
17/08/2016;2.910,60
18/08/2016;2.879,50
19/08/2016;2.858,50
22/08/2016;2.890,68
23/08/2016;2.921,33
24/08/2016;2.943,80
25/08/2016;2.896,57
26/08/2016;2.901,39
29/08/2016;2.919,95
30/08/2016;2.942,40
31/08/2016;2.972,30
1/09/2016;2.990,23
2/09/2016;2.936,20
5/09/2016;2.936,00
6/09/2016;2.865,30
7/09/2016;2.862,22
8/09/2016;2.845,00
9/09/2016;2.919,75
12/09/2016;2.935,60
13/09/2016;2.976,25
14/09/2016;2.951,25
15/09/2016;2.929,50
16/09/2016;2.956,72
19/09/2016;2.918,70
20/09/2016;2.915,52
21/09/2016;2.893,11
22/09/2016;2.888,00
23/09/2016;2.920,00
26/09/2016;2.922,00
27/09/2016;2.885,60
28/09/2016;2.911,56
29/09/2016;2.892,81
30/09/2016;2.883,35
3/10/2016;2.931,00
4/10/2016;2.977,66
5/10/2016;2.931,00
6/10/2016;2.906,40
7/10/2016;2.926,50
10/10/2016;2.926,50
11/10/2016;2.921,55
12/10/2016;2.904,50
13/10/2016;2.917,01
14/10/2016;2.920,76
17/10/2016;2.920,00
18/10/2016;2.905,55
19/10/2016;2.917,05
20/10/2016;2.929,06
21/10/2016;2.928,98
24/10/2016;2.937,39
25/10/2016;2.936,58
26/10/2016;2.970,42
27/10/2016;2.960,47
28/10/2016;2.988,11
31/10/2016;3.005,00
1/11/2016;3.048,24
2/11/2016;3.070,17
3/11/2016;3.073,00
4/11/2016;3.061,00
7/11/2016;3.039,29
8/11/2016;2.951,19
9/11/2016;3.001,80
10/11/2016;3.116,69
11/11/2016;3.117,82
14/11/2016;3.122,56
15/11/2016;3.122,56
16/11/2016;3.131,10
17/11/2016;3.157,35
18/11/2016;3.182,20
21/11/2016;3.147,50
22/11/2016;3.151,24
23/11/2016;3.173,00
24/11/2016;3.169,78
25/11/2016;3.177,50
28/11/2016;3.151,00
29/11/2016;3.161,00
30/11/2016;3.075,00
1/12/2016;3.073,45
2/12/2016;3.085,00
5/12/2016;3.037,03
6/12/2016;3.002,50
7/12/2016;3.003,41
8/12/2016;3.003,50
9/12/2016;3.007,65
12/12/2016;2.995,00
13/12/2016;2.970,00
14/12/2016;2.962,35
15/12/2016;3.001,50
16/12/2016;3.008,00
19/12/2016;3.007,84
20/12/2016;2.997,00
21/12/2016;2.996,00
22/12/2016;2.997,50
23/12/2016;3.000,00
26/12/2016;3.000,00
27/12/2016;2.995,05
28/12/2016;3.026,10
29/12/2016;3.002,00
30/12/2016;3.002,00
2/01/2017;3.002,00
3/01/2017;2.981,54
4/01/2017;2.970,40
5/01/2017;2.930,76
6/01/2017;2.929,50
9/01/2017;2.927,82
10/01/2017;2.953,82
11/01/2017;2.972,44
12/01/2017;2.924,51
13/01/2017;2.945,00
16/01/2017;2.942,92
17/01/2017;2.918,60
18/01/2017;2.935,57
19/01/2017;2.944,55
20/01/2017;2.921,50
23/01/2017;2.930,75
24/01/2017;2.932,35
25/01/2017;2.932,35
26/01/2017;2.940,00
27/01/2017;2.931,19
30/01/2017;2.931,25
31/01/2017;2.924,30
1/02/2017;2.905,20
2/02/2017;2.879,05
3/02/2017;2.850,00
6/02/2017;2.857,45
7/02/2017;2.857,45
8/02/2017;2.884,05
9/02/2017;2.859,85
10/02/2017;2.852,85
13/02/2017;2.873,80
14/02/2017;2.875,05
15/02/2017;2.875,05
16/02/2017;2.876,75
17/02/2017;2.886,50
20/02/2017;2.886,35
21/02/2017;2.902,25
22/02/2017;2.902,56
23/02/2017;2.869,90
24/02/2017;2.889,50
27/02/2017;2.892,00
28/02/2017;2.929,55
1/03/2017;2.933,75
2/03/2017;2.977,55
3/03/2017;2.975,00
6/03/2017;2.971,90
7/03/2017;2.957,05
8/03/2017;2.993,34
9/03/2017;2.998,15
10/03/2017;2.982,53
13/03/2017;2.984,05
14/03/2017;2.999,55
15/03/2017;2.970,89
16/03/2017;2.922,96
17/03/2017;2.915,00
20/03/2017;2.912,85
21/03/2017;2.920,00
22/03/2017;2.921,25
23/03/2017;2.919,10
24/03/2017;2.897,88
27/03/2017;2.923,00
28/03/2017;2.907,43
29/03/2017;2.879,50
30/03/2017;2.886,75
31/03/2017;2.873,76
3/04/2017;2.869,40
4/04/2017;2.866,72
5/04/2017;2.860,00
6/04/2017;2.855,64
7/04/2017;2.862,43
10/04/2017;2.864,12
11/04/2017;2.874,59
12/04/2017;2.870,55
13/04/2017;2.868,11
14/04/2017;2.866,50
17/04/2017;2.851,68
18/04/2017;2.840,50
19/04/2017;2.869,00
20/04/2017;2.850,50
21/04/2017;2.875,50
24/04/2017;2.871,00
25/04/2017;2.900,03
26/04/2017;2.930,00
27/04/2017;2.940,75
28/04/2017;2.941,68
1/05/2017;2.941,50
2/05/2017;2.940,00
3/05/2017;2.929,11
4/05/2017;2.982,10
5/05/2017;2.944,00
8/05/2017;2.962,15
9/05/2017;2.977,12
10/05/2017;2.941,93
11/05/2017;2.926,70
12/05/2017;2.921,00
15/05/2017;2.879,35
16/05/2017;2.880,32
17/05/2017;2.898,00
18/05/2017;2.925,28
19/05/2017;2.884,20
22/05/2017;2.905,03
23/05/2017;2.907,46
24/05/2017;2.907,11
25/05/2017;2.918,50
26/05/2017;2.911,50
29/05/2017;2.911,75
30/05/2017;2.918,93
31/05/2017;2.916,25
1/06/2017;2.892,85
2/06/2017;2.894,47
5/06/2017;2.900,00
6/06/2017;2.894,85
7/06/2017;2.915,53
8/06/2017;2.919,32
9/06/2017;2.914,50
12/06/2017;2.930,78
13/06/2017;2.932,26
14/06/2017;2.935,50
15/06/2017;2.952,75
16/06/2017;2.974,50
19/06/2017;2.976,99
20/06/2017;3.031,81
21/06/2017;3.058,20
22/06/2017;3.026,39
23/06/2017;3.022,14
26/06/2017;3.021,28
27/06/2017;3.028,47
28/06/2017;3.017,72
29/06/2017;3.046,15
30/06/2017;3.047,07
3/07/2017;3.046,00
4/07/2017;3.048,15
5/07/2017;3.084,00
6/07/2017;3.096,00
7/07/2017;3.090,50
10/07/2017;3.062,68
11/07/2017;3.075,50
12/07/2017;3.048,10
13/07/2017;3.046,80
14/07/2017;3.026,59
17/07/2017;3.031,12
18/07/2017;3.013,18
19/07/2017;3.003,98
20/07/2017;2.999,26
21/07/2017;3.014,28
24/07/2017;3.029,14
25/07/2017;3.030,80
26/07/2017;3.017,39
27/07/2017;3.016,03
28/07/2017;3.000,45
31/07/2017;2.985,00
1/08/2017;2.967,56
2/08/2017;2.966,22
3/08/2017;2.955,00
4/08/2017;2.987,00
7/08/2017;2.981,86
8/08/2017;2.997,25
9/08/2017;3.002,03
10/08/2017;2.999,25
11/08/2017;2.975,05
14/08/2017;2.968,10
15/08/2017;2.963,20
16/08/2017;2.968,82
17/08/2017;2.990,34
18/08/2017;2.990,34
21/08/2017;2.986,32
22/08/2017;2.984,07
23/08/2017;2.981,00
24/08/2017;2.960,53
25/08/2017;2.924,99
28/08/2017;2.947,25
29/08/2017;2.935,57
30/08/2017;2.953,80
31/08/2017;2.951,36
1/09/2017;2.931,00
4/09/2017;2.933,25
5/09/2017;2.931,15
6/09/2017;2.912,05
7/09/2017;2.905,50
8/09/2017;2.905,68
11/09/2017;2.922,77
