Fecha;COLCAP
11/09/2009;1216,22
14/09/2009;1212,53
15/09/2009;1244,75
16/09/2009;1248,69
17/09/2009;1245,88
18/09/2009;1269,97
21/09/2009;1266,91
22/09/2009;1276,57
23/09/2009;1288,14
24/09/2009;1290,81
25/09/2009;1305,32
28/09/2009;1331,9
29/09/2009;1321,32
30/09/2009;1328,93
1/10/2009;1315,15
2/10/2009;1318,92
5/10/2009;1335,49
6/10/2009;1356,57
7/10/2009;1355,56
8/10/2009;1346,83
9/10/2009;1333,44
13/10/2009;1303,03
14/10/2009;1294,39
15/10/2009;1294,11
16/10/2009;1301,69
19/10/2009;1330,8
20/10/2009;1315,97
21/10/2009;1317,07
22/10/2009;1308,64
23/10/2009;1303,29
26/10/2009;1288,81
27/10/2009;1277,91
28/10/2009;1279,22
29/10/2009;1289,97
30/10/2009;1257,17
3/11/2009;1240,95
4/11/2009;1262,5
5/11/2009;1280,4
6/11/2009;1279,75
9/11/2009;1303
10/11/2009;1304,06
11/11/2009;1303,86
12/11/2009;1308,45
13/11/2009;1311,43
17/11/2009;1314,81
18/11/2009;1299,42
19/11/2009;1301,12
20/11/2009;1301,85
23/11/2009;1305,65
24/11/2009;1312,26
25/11/2009;1327,17
26/11/2009;1316,16
27/11/2009;1328,31
30/11/2009;1318,05
1/12/2009;1335,21
2/12/2009;1337,22
3/12/2009;1356,57
4/12/2009;1353,58
7/12/2009;1358,31
9/12/2009;1357,77
10/12/2009;1351,02
11/12/2009;1366,34
14/12/2009;1366,46
15/12/2009;1368,48
16/12/2009;1379,58
17/12/2009;1382,63
18/12/2009;1370,34
21/12/2009;1369,56
22/12/2009;1365,23
23/12/2009;1364,13
24/12/2009;1372,72
28/12/2009;1365,06
29/12/2009;1366,35
30/12/2009;1366,85
4/01/2010;1374,28
5/01/2010;1373,23
6/01/2010;1373,89
7/01/2010;1368,91
8/01/2010;1374,72
12/01/2010;1369,53
13/01/2010;1379,91
14/01/2010;1386,91
15/01/2010;1382,66
18/01/2010;1382,07
19/01/2010;1386,01
20/01/2010;1381,8
21/01/2010;1355,28
22/01/2010;1364,33
25/01/2010;1345,31
26/01/2010;1357,8
27/01/2010;1355,8
28/01/2010;1353,57
29/01/2010;1363,67
1/02/2010;1358,49
2/02/2010;1363,85
3/02/2010;1359,43
4/02/2010;1334,8
5/02/2010;1326,08
8/02/2010;1327,03
9/02/2010;1345,54
10/02/2010;1353,7
11/02/2010;1358,21
12/02/2010;1355,84
15/02/2010;1357,59
16/02/2010;1364,53
17/02/2010;1366,11
18/02/2010;1359,64
19/02/2010;1372,51
22/02/2010;1372,84
23/02/2010;1379,75
24/02/2010;1398,47
25/02/2010;1385,85
26/02/2010;1391,02
1/03/2010;1392,91
2/03/2010;1391,36
3/03/2010;1401,53
4/03/2010;1398,81
5/03/2010;1399,63
8/03/2010;1408,35
9/03/2010;1403,17
10/03/2010;1403,82
11/03/2010;1405,26
12/03/2010;1406,49
15/03/2010;1404,42
16/03/2010;1411,71
17/03/2010;1429,4
18/03/2010;1432,3
19/03/2010;1414,1
23/03/2010;1426,74
24/03/2010;1422,69
25/03/2010;1427,24
26/03/2010;1423,02
29/03/2010;1429,29
30/03/2010;1430,71
31/03/2010;1440,58
5/04/2010;1450,93
6/04/2010;1460,3
7/04/2010;1472,19
8/04/2010;1472,76
9/04/2010;1468,95
12/04/2010;1470,7
13/04/2010;1470,91
14/04/2010;1478,47
15/04/2010;1481,14
16/04/2010;1463,27
19/04/2010;1453,14
20/04/2010;1467,76
21/04/2010;1475,06
22/04/2010;1478,51
23/04/2010;1488,05
