;PrecioInterno;PrecioInternacional;Producción;Exportaciones;TRM;EUR
jul-13;467209,68;147,7;1031;786,35;1900,59;2520
ago-13;452133,06;142,47;770;930,51;1903,66;2555
sep-13;435562,5;135,93;860;673,85;1919,4;2578
oct-13;407205,65;130,14;1058;877,48;1885,91;2570
nov-13;384812,5;123,92;1113;1050,26;1922,14;2625
dic-13;401649,19;125,82;1115;1002,14;1934,08;2651
ene-14;429661,29;133,51;1011;967,78;1960,41;2717
feb-14;602312,5;173,96;874;989,37;2040,51;2819
mar-14;758745,97;213,63;828;928,35;2022,19;2715
abr-14;796837,5;223,79;832;822,36;1939,27;2683
may-14;743899,19;213,45;1050;836,24;1915,46;2584
jun-14;664916,67;196,14;944;761,16;1888,1;2572
jul-14;644649,19;194,91;1236;900,47;1858,4;2512
ago-14;715620,97;210,42;1151;880,67;1899,07;2522
sep-14;715708,33;202,77;912;825,93;1971,34;2558
oct-14;805931,45;219,27;1101;970,14;2047,03;2576
nov-14;771579,17;203,71;1115;1018,77;2127,25;2760
dic-14;781745,97;191,53;1086;1055,6;2344,23;2889
ene-15;768548,39;182,32;1088;1057,57;2397,69;2753
feb-15;724982,14;171,68;1029;1056,78;2420,38;2798
mar-15;684923,39;151,94;800;785,65;2586,58;2789
abr-15;687370,83;155,3;924;957,29;2495,36;2672
may-15;631318,55;148,45;1165;1005,46;2439,09;2780
jun-15;671900;150,58;1240;1006,37;2554,94;2900
jul-15;678778,23;142,24;1463;1200,54;2731,9;3163
ago-15;772657,26;144,96;1264;1078,34;3023,29;3424
sep-15;718670,83;133,04;1058;1085,52;3073,12;3450
oct-15;733637,1;140,28;1368;1173,42;2937,85;3187
nov-15;735033,33;137,49;1322;1110,97;2996,67;3321
dic-15;789258,06;140,23;1454;1195,72;3244,51;3442
ene-16;787528,23;134,98;1136;1098,4;3284,03;3552
feb-16;791775,86;137,71;1096;1112,75;3357,5;3577
mar-16;799129,03;145,18;944;1091,86;3145,26;3413
abr-16;756366,67;143,46;1043;930,9;2998,71;3260
may-16;755322,58;144,93;1163;891,2;2988,38;3439
jun-16;794433,33;158,7;1158;935,32;2991,68;3241
jul-16;835516,13;164,93;1102;489,24;2963,99;3427
ago-16;794032,26;161,36;1189;1273,22;2963,82;3315
sep-16;860866,67;168,13;1034;1012,12;2921,15;3239
oct-16;914612,9;171,13;1395;1230,16;2932,61;3297
nov-16;1007533,33;178,16;1653;1329,71;3106,4;3254
dic-16;860806,45;158,31;1319;1449,96;3009,53;3155
ene-17;883225,81;165,56;1275;1137,74;2944,65;3151
feb-17;859285,71;164,33;1293;1182,26;2881,68;3092
mar-17;850064,52;158,97;1020;1160;2943,49;3060
abr-17;804900;155,79;834;898;2873,55;3201
may-17;802516,13;153,49;901;833,87;2924;3278
jun-17;783400;148,86;1049;946,64;2958,36;3474
jul-17;849322,58;155,36;1373;1000,58;3038,76;3533
ago-17;851903,23;157,97;1294;1204,09;2972,62;3509
sep-17;813762,5;153,51;1228;1112,4;2918,49;3464
oct-17;776919,35;145,02;1073;1123,43;2955,06;3541
nov-17;784504,17;145,63;1304;1161,31;3013,17;3585
dic-17;757967,74;144,35;1550;1222;2991,42;3577
ene-18;763903,23;147,35;1131;1053;2867,68;3514
feb-18;745031,25;145,93;1212;1098;2860;3494
mar-18;729854,84;143,1;1037;1035,84;2852,46;3438
abr-18;715325;143,89;874;924,93;2765,96;3386
may-18;754209,68;144,48;1188;950,77;2862,95;3378
jun-18;746400;142,45;1087;915,1;2893,22;3422
jul-18;717838,71;135,8;1051;1075,91;2885,55;3376
ago-18;705064,52;132,4;1258;1024,86;2959,57;3534
sep-18;686933,33;127,01;1050;1098,41;3037,8;3436
oct-18;796774,19;141,35;1086;1057,66;3080,48;3636
nov-18;804283,33;141,64;1300;1233,45;3198,13;3658
dic-18;727645,16;129,7;1283;1283;3212,48;3722
ene-19;727274,19;130,42;1296;1166,34;3161,91;3552
feb-19;708089,29;130,53;1106;1245,59;3115,15;3502
mar-19;690580,65;128,36;914;1140,59;3125,34;3574
abr-19;680566,67;128,58;1031;872,34;3155,22;3624
may-19;724064,52;128,42;1115;1028,04;3310,49;3774
jun-19;779916,67;137,01;1211;1110,2;3256,02;3650
jul-19;796483,87;140,06;1317;1121,94;3208,11;3631
ago-19;798935,48;133,51;1119;1214,03;3412,65;3780
sep-19;815450;136,05;1088;1008,67;3399,62;3789
oct-19;819580,65;135,91;1369;1211,41;3437,73;3765
nov-19;909600;150,59;1506;1162,21;3411,42;3872
dic-19;999129,03;165,35;1680;1386,3;3383;3683
ene-20;886161,29;152,26;1050;1064,88;3317,37;3790
feb-20;909103,45;156,26;1001;1078,06;3408,24;3884
mar-20;1143193,55;169,7;806;947,84;3870,01;4477
abr-20;1175566,67;172,11;744;642,03;3986,56;4330
may-20;1068870,97;163,86;1186;893,58;3863,34;4135
jun-20;962800;156,04;1362;1111,47;3693;4210
jul-20;1001451,61;162,42;1310;1131,19;3660,6;4394
ago-20;1143967,74;175,54;1091;1131;3788,1;4464
sep-20;1142233,33;175,75;995;887,49;3749,86;4482
oct-20;1052483,87;161,92;1159;1051,83;3833,06;4506
nov-20;1044700;169,8;1443;1278,6;3680,67;4287
dic-20;1047677,42;179,66;1743;1309;3468,5;4170
ene-21;1073193,55;182,53;1081;1072;3494,53;4330
feb-21;1113535,71;187,09;1107;1273,64;3552,43;4400
mar-21;1156032,26;186,13;1050;1128,01;3617;4291
abr-21;1207433,33;192,19;810;1035,03;3651,85;4508
may-21;1385935,48;207,84;616;345;3741,96;4530
jun-21;1420800;215,41;1052;890,28;3693;4442
jul-21;1562741,94;227,29;1209;1184,28;3832,24;4598
ago-21;1704806,45;228,95;915;1130,97;3887,68;4447
sep-21;1712138;248,61;1209;1089,83;3820,28;4407
oct-21;1784935,48;270,27;1012;986,83;3771,68;4344
nov-21;1999655,17;291,93;1131;1135,45;3900,51;4526
dic-21;2116483,87;302,82;1385;1167,18;3967,77;4622
